127.0.0.1 - - [19/Jul/2023:16:08:44 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:08:44 +0700] "GET /adv/user/login HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:08:44 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:11:16 +0700] "GET /adv/user/login HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:12:13 +0700] "GET /adv/user/login HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:12:17 +0700] "GET /adv/user/login HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:12:48 +0700] "GET /adv/user/login HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:17:32 +0700] "GET /adv/user/login HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:21:25 +0700] "GET /adv/user/login HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:21:25 +0700] "GET /adv/user/login HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:21:26 +0700] "GET /adv/user/login HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:21:26 +0700] "GET /adv/user/login HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:21:27 +0700] "GET /adv/user/login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:21:27 +0700] "GET /adv/user/login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:21:27 +0700] "GET /adv/user/login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:22:21 +0700] "GET /adv/user/login HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:22:37 +0700] "GET /adv/user/login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:30:03 +0700] "GET /adv/user/login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:30:03 +0700] "GET /adv/user/login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:30:03 +0700] "GET /adv/user/login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:30:04 +0700] "GET /adv/user/login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:30:04 +0700] "GET /adv/user/login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:30:04 +0700] "GET /adv/user/login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:30:09 +0700] "GET /adv/user/login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:30:09 +0700] "GET /adv/user/login HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:30:10 +0700] "GET /adv/user/login HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:30:10 +0700] "GET /adv/user/login HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:30:10 +0700] "GET /adv/user/login HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:31:46 +0700] "GET /adv/user/login HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:33:14 +0700] "GET /adv/user/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:34:33 +0700] "GET /adv/user/login HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:34:35 +0700] "GET /adv/user/login HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:34:36 +0700] "GET /adv/user/login HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:34:36 +0700] "GET /adv/user/login HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:36:26 +0700] "GET /adv/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:56:42 +0700] "GET /adv/user/login HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:56:42 +0700] "GET /adv/user/css/all.min.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:56:42 +0700] "GET /adv/user/css/bootstrap.min.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:56:42 +0700] "GET /adv/user/css/loginv3.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:56:42 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:56:42 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:55 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:55 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:55 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:55 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:55 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:55 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:56 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:56 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:56 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:56 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:56 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:56 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/login HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/js/loginv3.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/user/js/bootstrap.bundle.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/all.min.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/loginv3.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2023:16:58:57 +0700] "GET /adv/adcss/bootstrap.min.css HTTP/1.1" 404 786
